,text,book,line,meter,first_hemistich,second_hemistich
104,iliad,1,105,SSDDDA,κάλχαντα πρώτιστα ,κάκ ὀσσόμενος προσέειπε
105,iliad,1,106,DSDSDA,μάντι κακῶν οὐ πώ ,ποτέ μοι τὸ κρήγυον εἶπας
106,iliad,1,107,SDDDSA,αἰεί τοι τὰ κάκ ἐστὶ ,φίλα φρεσὶ μαντεύεσθαι
107,iliad,1,108,SDSDDA,ἐσθλὸν δ οὔτέ τί πω ,εἶπας ἔπος οὔτ ἐτέλεσσας
108,iliad,1,109,SDSDDA,καὶ νῦν ἐν δαναοῖσι θεοπροπέων ,ἀγορεύεις
109,iliad,1,110,SDDDDA,ὡς δὴ τοῦδ ἕνεκά ,σφιν ἑκηβόλος ἄλγεα τεύχει
110,iliad,1,111,DSSDDA,οὕνεκ ἐγὼ κούρης ,χρυσηΐδος ἀγλά ἄποινα
111,iliad,1,112,DSDDDA,οὐκ ἔθελον δέξασθαι ,ἐπεὶ πολὺ βούλομαι αὐτὴν
112,iliad,1,113,NNNNNN,,
113,iliad,1,114,DDDDDA,κουριδίης ἀλόχου ,ἐπεὶ οὔ ἑθέν ἐστι χερείων
114,iliad,1,115,DDSDDA,οὐ δέμας οὐδὲ φυήν ,οὔτ ἂρ φρένας οὔτέ τι ἔργα
115,iliad,1,116,DDDDDA,ἀλλὰ καὶ ὧς ἐθέλω ,δόμεναι πάλιν εἰ τό γ ἄμεινον
116,iliad,1,117,DSSDDA,βούλομ ἐγὼ λαὸν ,σῶν ἔμμεναι ἢ ἀπολέσθαι
117,iliad,1,118,DDDDDA,αὐτὰρ ἐμοὶ γέρας αὐτίχ ,ἑτοιμάσατ ὄφρα μὴ οἶος
118,iliad,1,119,SDDDDA,ἀργείων ἀγέραστος ,ἔω ἐπεὶ οὐδὲ ἔοικε
119,iliad,1,120,DDDDDA,λεύσσετε γὰρ τό γε πάντες ,ὅ μοι γέρας ἔρχεται ἄλλῃ
120,iliad,1,121,SDDSDA,τὸν δ ἠμείβετ ἔπειτα ,ποδάρκης δῖος ἀχιλλεύς
121,iliad,1,122,DSDDDA,ἀτρεΐδη κύδιστε ,φιλοκτεανώτατε πάντων
122,iliad,1,123,SSDDDA,πῶς γάρ τοι δώσουσι ,γέρας μεγάθυμοι ἀχαιοί
123,iliad,1,124,DSSDDA,οὐδέ τί που ἴδμεν ,ξυνήϊα κείμενα πολλά
124,iliad,1,125,DDSDDA,ἀλλὰ τὰ μὲν πολίων ,ἐξεπράθομεν τὰ δέδασται
125,iliad,1,126,SDDDDA,λαοὺς δ οὐκ ἐπέοικε ,παλίλλογα ταῦτ ἐπαγείρειν
126,iliad,1,127,DSDDDA,ἀλλὰ σὺ μὲν νῦν τήνδε ,θεῷ πρόες αὐτὰρ ἀχαιοὶ
127,iliad,1,128,SSDDDA,τριπλῇ τετραπλῇ ,τ ἀποτείσομεν αἴ κέ ποθι ζεὺς
128,iliad,1,129,DSSDDA,δῷσι πόλιν τροίην ,εὐτείχεον ἐξαλαπάξαι
129,iliad,1,130,DDDSDA,τὸν δ ἀπαμειβόμενος ,προσέφη κρείων ἀγαμέμνων
130,iliad,1,131,SDDDDA,‘μὴ δ οὕτως ἀγαθός ,περ ἐὼν θεοείκελ ἀχιλλεῦ
131,iliad,1,132,DDDDDA,κλέπτε νόῳ ἐπεὶ οὐ ,παρελεύσεαι οὐδέ με πείσεις
132,iliad,1,133,DSDDDA,ἦ ἐθέλεις ὄφρ αὐτὸς ,ἔχῃς γέρας αὐτὰρ ἔμ αὔτως
133,iliad,1,134,SDDDDA,ἧσθαι δευόμενον ,κέλεαι δέ με τήνδ ἀποδοῦναι
134,iliad,1,135,SSDDDA,ἀλλ εἰ μὲν δώσουσι ,γέρας μεγάθυμοι ἀχαιοὶ
135,iliad,1,136,SDDSDA,ἄρσαντες κατὰ θυμὸν ,ὅπως ἀντάξιον ἔσται
136,iliad,1,137,DSDDDA,εἰ δέ κε μὴ δώωσιν ,ἐγὼ δέ κεν αὐτὸς ἕλωμαι
137,iliad,1,138,DSDDDA,ἢ τεὸν ἢ αἴαντος ,ἰὼν γέρας ἢ ὀδυσῆος
138,iliad,1,139,DDDDDA,ἄξω ἑλών ὃ δέ κεν ,κεχολώσεται ὅν κεν ἵκωμαι
139,iliad,1,140,SSDDDA,ἀλλ ἤτοι μὲν ταῦτα ,μεταφρασόμεσθα καὶ αὖτις
140,iliad,1,141,DDDDDA,νῦν δ ἄγε νῆα μέλαιναν ,ἐρύσσομεν εἰς ἅλα δῖαν
141,iliad,1,142,DDDDDA,ἐν δ ἐρέτας ἐπιτηδὲς ,ἀγείρομεν ἐς δ ἑκατόμβην
142,iliad,1,143,DSSDDA,θείομεν ἂν δ αὐτὴν ,χρυσηΐδα καλλιπάρῃον
143,iliad,1,144,DDDSDA,βήσομεν εἷς δέ τις ἀρχὸς ,ἀνὴρ βουληφόρος ἔστω
144,iliad,1,145,SSDSDA,ἢ αἴας ἢ ἰδομενεὺς ,ἢ δῖος ὀδυσσεὺς
145,iliad,1,146,DDSSDA,ἠὲ σὺ πηλεΐδη ,πάντων ἐκπαγλότατ ἀνδρῶν
146,iliad,1,147,SDDDDA,ὄφρ ἥμιν ἑκάεργον ,ἱλάσσεαι ἱερὰ ῥέξας
147,iliad,1,148,DDDDDA,τὸν δ ἄρ ὑπόδρα ἰδὼν ,προσέφη πόδας ὠκὺς ἀχιλλεύς
148,iliad,1,149,DSDDSA,‘ὤ μοι ἀναιδείην ,ἐπιειμένε κερδαλεόφρον
149,iliad,1,150,SSDSDA,πῶς τίς τοι πρόφρων ,ἔπεσιν πείθηται ἀχαιῶν
150,iliad,1,151,DDSDDA,ἢ ὁδὸν ἐλθέμεναι ,ἢ ἀνδράσιν ἶφι μάχεσθαι
151,iliad,1,152,DSDDSA,οὐ γὰρ ἐγὼ τρώων ,ἕνεκ ἤλυθον αἰχμητάων
152,iliad,1,153,DDDDDA,δεῦρο μαχησόμενος ,ἐπεὶ οὔ τί μοι αἴτιοί εἰσιν
153,iliad,1,154,SDSDDA,οὐ γὰρ πώποτ ἐμὰς ,βοῦς ἤλασαν οὐδὲ μὲν ἵππους
154,iliad,1,155,DSDDDA,οὐδέ ποτ ἐν φθίῃ ,ἐριβώλακι βωτιανείρῃ
155,iliad,1,156,DSDDDA,καρπὸν ἐδηλήσαντ ,ἐπεὶ ἦ μάλα πολλὰ μεταξὺ
156,iliad,1,157,DDDDSA,οὔρεά τε σκιόεντα ,θάλασσά τε ἠχήεσσα
157,iliad,1,158,DDDDDA,ἀλλὰ σοὶ ὦ μέγ ἀναιδὲς ,ἅμ ἑσπόμεθ ὄφρα σὺ χαίρῃς
158,iliad,1,159,SDDSDA,τιμὴν ἀρνύμενοι ,μενελάῳ σοί τε κυνῶπα
159,iliad,1,160,SSDDDA,πρὸς τρώων τῶν οὔ ,τι μετατρέπῃ οὐδ ἀλεγίζεις
160,iliad,1,161,SDDSDA,καὶ δή μοι γέρας αὐτὸς ,ἀφαιρήσεσθαι ἀπειλεῖς
161,iliad,1,162,DDDDDA,ᾧ ἔπι πολλὰ μόγησα ,δόσαν δέ μοι υἷες ἀχαιῶν
162,iliad,1,163,SDDDDA,οὐ μὲν σοί ποτε ἶσον ,ἔχω γέρας ὁππότ ἀχαιοὶ
163,iliad,1,164,SSSDDA,τρώων ἐκπέρσωσ ,εὖ ναιόμενον πτολίεθρον
164,iliad,1,165,DSDSDA,ἀλλὰ τὸ μὲν πλεῖον ,πολυάϊκος πολέμοιο
165,iliad,1,166,DDDDDA,χεῖρες ἐμαὶ διέπουσ ,ἀτὰρ ἤν ποτε δασμὸς ἵκηται
166,iliad,1,167,DDDDDA,σοὶ τὸ γέρας πολὺ μεῖζον ,ἐγὼ δ ὀλίγον τε φίλον τε
167,iliad,1,168,DDDDDA,ἔρχομ ἔχων ἐπὶ νῆας ,ἐπεί κε κάμω πολεμίζων
168,iliad,1,169,SSDDDA,νῦν δ εἶμι φθίην ,δ ἐπεὶ ἦ πολὺ φέρτερόν ἐστιν
169,iliad,1,170,DSDDDA,οἴκαδ ἴμεν σὺν νηυσὶ ,κορωνίσιν οὐδέ σ ὀΐω
170,iliad,1,171,DDDSDA,ἐνθάδ ἄτιμος ἐὼν ,ἄφενος καὶ πλοῦτον ἀφύξειν
171,iliad,1,172,SDDSDA,τὸν δ ἠμείβετ ἔπειτα ,ἄναξ ἀνδρῶν ἀγαμέμνων
172,iliad,1,173,DSDDDA,φεῦγε μάλ εἴ τοι θυμὸς ,ἐπέσσυται οὐδέ σ ἔγωγε
173,iliad,1,174,DDDDDA,λίσσομαι εἵνεκ ἐμεῖο ,μένειν πάρ ἔμοιγε καὶ ἄλλοι
174,iliad,1,175,DSDDDA,οἵ κέ με τιμήσουσι ,μάλιστα δὲ μητίετα ζεύς
175,iliad,1,176,SDSDDA,ἔχθιστος δέ μοί ἐσσι διοτρεφέων ,βασιλήων
176,iliad,1,177,SDDDDA,αἰεὶ γάρ τοι ἔρις ,τε φίλη πόλεμοί τε μάχαι τε
177,iliad,1,178,DDDSDA,εἰ μάλα καρτερός ἐσσι ,θεός που σοὶ τό γ ἔδωκεν
178,iliad,1,179,DSDSDA,οἴκαδ ἰὼν σὺν νηυσί ,τε σῇς καὶ σοῖς ἑτάροισι
179,iliad,1,180,DDDDDA,μυρμιδόνεσσιν ἄνασσε ,σέθεν δ ἐγὼ οὐκ ἀλεγίζω
180,iliad,1,181,DDDSDA,οὐδ ὄθομαι κοτέοντος ,ἀπειλήσω δέ τοι ὧδε
181,iliad,1,182,DSSDDA,ὡς ἔμ ἀφαιρεῖται ,χρυσηΐδα φοῖβος ἀπόλλων
182,iliad,1,183,DSDDDA,τὴν μὲν ἐγὼ σὺν νηΐ ,τ ἐμῇ καὶ ἐμοῖς ἑτάροισι
183,iliad,1,184,DDSDDA,πέμψω ἐγὼ δέ κ ἄγω ,βρισηΐδα καλλιπάρῃον
184,iliad,1,185,DDDDDA,αὐτὸς ἰὼν κλισίην ,δὲ τὸ σὸν γέρας ὄφρ ἐῢ εἰδῇς
185,iliad,1,186,SDDDDA,ὅσσον φέρτερός εἰμι ,σέθεν στυγέῃ δὲ καὶ ἄλλος
186,iliad,1,187,DSDSDA,ἶσον ἐμοὶ φάσθαι ,καὶ ὁμοιωθήμεναι ἄντην
187,iliad,1,188,DDDDDA,ὣς φάτο πηλεΐωνι ,δ ἄχος γένετ ἐν δέ οἱ ἦτορ
188,iliad,1,189,SDDDSA,στήθεσσιν λασίοισι ,διάνδιχα μερμήριξεν
189,iliad,1,190,DDDDDA,ἢ ὅ γε φάσγανον ὀξὺ ,ἐρυσσάμενος παρὰ μηροῦ
190,iliad,1,191,DSDDDA,τοὺς μὲν ἀναστήσειεν ,ὃ δ ἀτρεΐδην ἐναρίζοι
191,iliad,1,192,DSDSDA,ἦε χόλον παύσειεν ,ἐρητύσειέ τε θυμόν
192,iliad,1,193,DSDDDA,ἧος ὃ ταῦθ ὥρμαινε ,κατὰ φρένα καὶ κατὰ θυμόν
193,iliad,1,194,DDDDDA,ἕλκετο δ ἐκ κολεοῖο ,μέγα ξίφος ἦλθε δ ἀθήνη
194,iliad,1,195,DDDSDA,οὐρανόθεν πρὸ γὰρ ἧκε ,θεὰ λευκώλενος ἥρη
195,iliad,1,196,DSDDDA,ἄμφω ὁμῶς θυμῷ ,φιλέουσά τε κηδομένη τε
196,iliad,1,197,DSDDDA,στῆ δ ὄπιθεν ξανθῆς ,δὲ κόμης ἕλε πηλεΐωνα
197,iliad,1,198,SDSSDA,οἴῳ φαινομένη ,τῶν δ ἄλλων οὔ τις ὁρᾶτο
198,iliad,1,199,SDDDDA,θάμβησεν δ ἀχιλεύς ,μετὰ δ ἐτράπετ αὐτίκα δ ἔγνω
199,iliad,1,200,DSSDDA,παλλάδ ἀθηναίην ,δεινὼ δέ οἱ ὄσσε φάανθεν
200,iliad,1,201,SSDDDA,καί μιν φωνήσας ,ἔπεα πτερόεντα προσηύδα
201,iliad,1,202,SDDDSA,τίπτ αὖτ αἰγιόχοιο ,διὸς τέκος εἰλήλουθας
202,iliad,1,203,DDDDDA,ἦ ἵνα ὕβριν ἴδῃ ,ἀγαμέμνονος ἀτρεΐδαο
203,iliad,1,204,SDDDDA,ἀλλ ἔκ τοι ἐρέω ,τὸ δὲ καὶ τελέεσθαι ὀΐω
204,iliad,1,205,DSDDDA,ᾗς ὑπεροπλίῃσι ,τάχ ἄν ποτε θυμὸν ὀλέσσῃ
205,iliad,1,206,SDDSDA,τὸν δ αὖτε προσέειπε ,θεὰ γλαυκῶπις ἀθήνη
206,iliad,1,207,DSDDDA,ἦλθον ἐγὼ παύσουσα ,τὸ σὸν μένος αἴ κε πίθηαι
207,iliad,1,208,DDDSDA,οὐρανόθεν πρὸ δέ μ ἧκε ,θεὰ λευκώλενος ἥρη
208,iliad,1,209,DSDDDA,ἄμφω ὁμῶς θυμῷ ,φιλέουσά τε κηδομένη τε
209,iliad,1,210,DDSDDA,ἀλλ ἄγε λῆγ ἔριδος ,μηδὲ ξίφος ἕλκεο χειρί
210,iliad,1,211,SDDDDA,ἀλλ ἤτοι ἔπεσιν ,μὲν ὀνείδισον ὡς ἔσεταί περ
211,iliad,1,212,DDDDDA,ὧδε γὰρ ἐξερέω ,τὸ δὲ καὶ τετελεσμένον ἔσται
212,iliad,1,213,DSDDDA,καί ποτέ τοι τρὶς τόσσα ,παρέσσεται ἀγλαὰ δῶρα
213,iliad,1,214,DDDDDA,ὕβριος εἵνεκα τῆσδε ,σὺ δ ἴσχεο πείθεο δ ἡμῖν
214,iliad,1,215,DDDDDA,τὴν δ ἀπαμειβόμενος ,προσέφη πόδας ὠκὺς ἀχιλλεύς
215,iliad,1,216,SDDDSA,‘χρὴ μὲν σφωΐτερόν ,γε θεὰ ἔπος εἰρύσσασθαι
216,iliad,1,217,DSDDDA,καὶ μάλα περ θυμῷ ,κεχολωμένον ὧς γὰρ ἄμεινον
217,iliad,1,218,DDSDDA,ὅς κε θεοῖς ἐπιπείθηται ,μάλα τ ἔκλυον αὐτοῦ
218,iliad,1,219,DDSDDA,ἦ καὶ ἐπ ἀργυρέῃ ,κώπῃ σχέθε χεῖρα βαρεῖαν
219,iliad,1,220,SDDDDA,ἂψ δ ἐς κουλεὸν ὦσε ,μέγα ξίφος οὐδ ἀπίθησε
220,iliad,1,221,DSSSDA,μύθῳ ἀθηναίης ,ἣ δ οὔλυμπον δὲ βεβήκει
221,iliad,1,222,DDDDDA,δώματ ἐς αἰγιόχοιο ,διὸς μετὰ δαίμονας ἄλλους
222,iliad,1,223,DSDSDA,πηλεΐδης δ ἐξαῦτις ,ἀταρτηροῖς ἐπέεσσιν
223,iliad,1,224,DDDSDA,ἀτρεΐδην προσέειπε ,καὶ οὔ πω λῆγε χόλοιο
224,iliad,1,225,DDDDDA,οἰνοβαρές κυνὸς ὄμματ ,ἔχων κραδίην δ ἐλάφοιο
