,text,book,line,string,meter,me
47,iliad,1,48,ἕζετ ἔπειτ ἀπάνευθε νεῶν μετά δ ἰόν ἕηκε,DDDDDA,0.14757138904561062
48,iliad,1,49,δεινή δέ κλαγγή γένετ ἀργυρέοιο βιοῖο,SSDDDA,0.08706363642422517
49,iliad,1,50,οὐρῆας μέν πρῶτον ἐπῴχετο καί κύνας ἀργούς,SSDDDA,0.03472869026101155
50,iliad,1,51,αὐτάρ ἔπειτ αὐτοῖσι βέλος ἐχεπευκές ἐφιείς,DSDDDA,0.2008870016808375
51,iliad,1,52,βάλλ αἰεί δέ πυραί νεκύων καίοντο θαμειαί,SDDSDA,0.09080990711157531
52,iliad,1,53,ἐννῆμαρ μέν ἀνά στρατόν ᾤχετο κῆλα θεοῖο,SDDDDA,0.16416037813417533
53,iliad,1,54,τῇ δεκάτῃ δ ἀγορήν δέ καλέσσατο λαόν Ἀχιλλεύς,DDDDDA,0.04220788371966719
54,iliad,1,55,τῷ γάρ ἐπί φρεσί θῆκε θεά λευκώλενος Ἥρη,DDDSDA,0.42004000153455745
55,iliad,1,56,κήδετο γάρ Δαναῶν ὅτι ῥα θνήσκοντας ὁρᾶτο,DDDSDA,0.03312824674535053
56,iliad,1,57,οἵ δ ἐπεί οὖν ἤγερθεν ὁμηγερέες τε γένοντο,DSDDDA,0.3567950960439261
57,iliad,1,58,τοῖσι δ ἀνιστάμενος μετέφη πόδας ὠκύς Ἀχιλλεύς,DDDDDA,1.1636816297849002
58,iliad,1,59,Ἀτρεΐδη νῦν ἄμμε παλιμπλαγχθέντας ὀΐω,DSDSDA,0.09748791697271006
59,iliad,1,60,ἄψ ἀπονοστήσειν εἴ κεν θάνατόν γε φύγοιμεν,DSSDDA,0.10972180652437111
60,iliad,1,61,εἰ δή ὁμοῦ πόλεμός τε δαμᾷ καί λοιμός Ἀχαιούς,DDDSDA,0.05180736417280858
61,iliad,1,62,ἀλλ ἄγε δή τινα μάντιν ἐρείομεν ἤ ἱερῆα,DDDDDA,0.27694214200738054
62,iliad,1,63,ἤ καί ὀνειροπόλον καί γάρ τ ὄναρ ἐκ Διός ἐστιν,DDSDDA,0.060615128696104977
63,iliad,1,64,ὅς κ εἴποι ὅ τι τόσσον ἐχώσατο Φοῖβος Ἀπόλλων,SDDDDA,0.125119799503784
64,iliad,1,65,εἴτ ἄρ ὅ γ εὐχωλῆς ἐπιμέμφεται ἠδ ἑκατόμβης,DSDDDA,0.24758988422070605
65,iliad,1,66,αἴ κέν πως ἀρνῶν κνίσης αἰγῶν τε τελείων,SSSSDA,0.13698058400000426
66,iliad,1,67,βούλεται ἀντιάσας ἡμῖν ἀπό λοιγόν ἀμῦναι,DDSDDA,0.1474188563463916
67,iliad,1,68,ἤτοι ὅ γ ὥς εἰπών κατ ἄρ ἕζετο τοῖσι δ ἀνέστη,DSDDDA,1.565375501293261
68,iliad,1,69,Κάλχας Θεστορίδης οἰωνοπόλων ὄχ ἄριστος,SDSDDA,0.8891142984871273
69,iliad,1,70,ὅς ᾔδη τά τ ἐόντα τά τ ἐσσόμενα πρό τ ἐόντα,SDDDDA,0.031866962543642914
70,iliad,1,71,καί νήεσσ ἡγήσατ Ἀχαιῶν Ἴλιον εἴσω,SSDSDA,0.06963023515038483
71,iliad,1,72,ἥν διά μαντοσύνην τήν οἱ πόρε Φοῖβος Ἀπόλλων,DDSDDA,0.1870964123596744
72,iliad,1,73,ὅ σφιν ἐύ φρονέων ἀγορήσατο καί μετέειπεν,DDDDDA,1.245213627073006
73,iliad,1,74,ὦ Ἀχιλεῦ κέλεαί με Διΐ φίλε μυθήσασθαι,DDDDSA,0.12997806760430605
74,iliad,1,75,μῆνιν Ἀπόλλωνος ἑκατηβελέταο ἄνακτος,DSDDDA,0.14858227399962398
75,iliad,1,76,τοί γάρ ἐγών ἐρέω σύ δέ σύνθεο καί μοι ὄμοσσον,DDDDDA,0.4474003845097803
76,iliad,1,77,ἦ μέν μοι πρόφρων ἔπεσιν καί χερσίν ἀρήξειν,SSDSDA,0.0792497072511054
77,iliad,1,78,ἦ γάρ ὀΐομαι ἄνδρα χολωσέμεν ὅς μέγα πάντων,DDDDDA,0.05967093726871794
78,iliad,1,79,Ἀργείων κρατέει καί οἱ πείθονται Ἀχαιοί,SDSSDA,0.09263539868844507
79,iliad,1,80,κρείσσων γάρ βασιλεύς ὅτε χώσεται ἀνδρί χέρηϊ,SDDDDA,0.03181704324295653
80,iliad,1,81,εἴ περ γάρ τε χόλον γε καί αὐτῆμαρ καταπέψῃ,SDDSDA,0.12242825044768374
81,iliad,1,82,ἀλλά τε καί μετόπισθεν ἔχει κότον ὄφρα τελέσσῃ,DDDDDA,0.09050404062315746
82,iliad,1,83,ἐν στήθεσσιν ἑοῖσι σύ δέ φράσαι εἴ με σαώσεις,SDDDDA,0.08845158503054266
83,iliad,1,84,τόν δ ἀπαμειβόμενος προσέφη πόδας ὠκύς Ἀχιλλεύς,DDDDDA,21.812519967661714
84,iliad,1,85,θαρσήσας μάλα εἰπέ θεοπρόπιον ὅ τι οἶσθα,SDDDDA,0.05722792865109343
85,iliad,1,86,οὐ μά γάρ Ἀπόλλωνα Διΐ φίλον ᾧ τε σύ Κάλχαν,DSDDDA,0.031299903330817745
86,iliad,1,87,εὐχόμενος Δαναοῖσι θεοπροπίας ἀναφαίνεις,DDSDDA,0.13445417035364657
87,iliad,1,88,οὔ τις ἐμεῦ ζῶντος καί ἐπί χθονί δερκομένοιο,DSDDDA,0.2847901799856103
88,iliad,1,89,σοί κοίλῃς παρά νηυσί βαρείας χεῖρας ἐποίσει,SDDSDA,0.1628594943553316
89,iliad,1,90,συμπάντων Δαναῶν οὐδ ἤν Ἀγαμέμνονα εἴπῃς,SDSDDA,0.05846576212049211
90,iliad,1,91,ὅς νῦν πολλόν ἄριστος Ἀχαιῶν εὔχεται εἶναι,SDDSDA,0.13073479643733435
91,iliad,1,92,καί τότε δή θάρσησε καί ηὔδα μάντις ἀμύμων,DSDSDA,0.16781784864525046
92,iliad,1,93,οὔ τ ἄρ ὅ γ εὐχωλῆς ἐπιμέμφεται οὐδ ἑκατόμβης,DSDDDA,0.17878097705582138
93,iliad,1,94,ἀλλ ἕνεκ ἀρητῆρος ὅν ἠτίμησ Ἀγαμέμνων,DSDSDA,0.08177531344832767
94,iliad,1,95,οὐδ ἀπέλυσε θύγατρα καί οὐκ ἀπεδέξατ ἄποινα,DDDDDA,0.07228615559361808
95,iliad,1,96,τοὔνεκ ἄρ ἄλγε ἔδωκεν ἑκηβόλος ἠδ ἔτι δώσει,DDDDDA,0.08714713918308425
96,iliad,1,97,οὐδ ὅ γε πρίν Δαναοῖσιν ἀεικέα λοιγόν ἀπώσει,DDDDDA,0.16503853683481706
97,iliad,1,98,πρίν γ ἀπό πατρί φίλῳ δόμεναι ἑλικώπιδα κούρην,DDDDDA,0.16349081246353633
98,iliad,1,99,ἀπριάτην ἀνάποινον ἄγειν θ ἱερήν ἑκατόμβην,DDDDDA,0.3188792866710302
99,iliad,1,100,ἐς Χρύσην τότε κέν μιν ἱλασσάμενοι πεπίθοιμεν,SDDDDA,0.10634647611280997
100,iliad,1,101,ἤτοι ὅ γ ὥς εἰπών κατ ἄρ ἕζετο τοῖσι δ ἀνέστη,DSDDDA,1.565375501293261
101,iliad,1,102,ἥρως Ἀτρεΐδης εὐρύ κρείων Ἀγαμέμνων,SDSSDA,3.187495963449566
102,iliad,1,103,ἀχνύμενος μένεος δέ μέγα φρένες ἀμφιμέλαιναι,DDDDDA,0.1780763356892823
103,iliad,1,104,πίμπλαντ ὄσσε δέ οἱ πυρί λαμπετόωντι ἐΐκτην,SDDDDA,0.3470844300624921
104,iliad,1,105,Κάλχαντα πρώτιστα κάκ ὀσσόμενος προσέειπε,SSDDDA,0.12453947560928216
105,iliad,1,106,μάντι κακῶν οὐ πώ ποτέ μοι τό κρήγυον εἶπας,DSDSDA,0.07525253343927463
106,iliad,1,107,αἰεί τοι τά κάκ ἐστί φίλα φρεσί μαντεύεσθαι,SDDDSA,0.037519129574159676
107,iliad,1,108,ἐσθλόν δ οὔτέ τί πω εἶπας ἔπος οὔτ ἐτέλεσσας,SDSDDA,0.02607220537628643
108,iliad,1,109,καί νῦν ἐν Δαναοῖσι θεοπροπέων ἀγορεύεις,SDSDDA,0.062366949431215186
109,iliad,1,110,ὡς δή τοῦδ ἕνεκά σφιν ἑκηβόλος ἄλγεα τεύχει,SDDDDA,0.12455676000875235
110,iliad,1,111,οὕνεκ ἐγώ κούρης Χρυσηΐδος ἀγλά ἄποινα,DSSDDA,0.1321802762230321
111,iliad,1,112,οὐκ ἔθελον δέξασθαι ἐπεί πολύ βούλομαι αὐτήν,DSDDDA,0.09457498322361008
112,iliad,1,113,οἴκοι ἔχειν καί γάρ ῥα Κλυταιμνήστρης προβέβουλα,NNNNNN,0.16673568156269006
113,iliad,1,114,κουριδίης ἀλόχου ἐπεί οὔ ἑθέν ἐστι χερείων,DDDDDA,0.14143278648916688
114,iliad,1,115,οὐ δέμας οὐδέ φυήν οὔτ ἄρ φρένας οὔτέ τι ἔργα,DDSDDA,0.08499531728781896
115,iliad,1,116,ἀλλά καί ὧς ἐθέλω δόμεναι πάλιν εἰ τό γ ἄμεινον,DDDDDA,0.09887126719400739
116,iliad,1,117,βούλομ ἐγώ λαόν σῶν ἔμμεναι ἤ ἀπολέσθαι,DSSDDA,0.042109705943875794
117,iliad,1,118,αὐτάρ ἐμοί γέρας αὐτίχ ἑτοιμάσατ ὄφρα μή οἶος,DDDDDA,0.0856055696684671
118,iliad,1,119,Ἀργείων ἀγέραστος ἔω ἐπεί οὐδέ ἔοικε,SDDDDA,0.15426401638682233
119,iliad,1,120,λεύσσετε γάρ τό γε πάντες ὅ μοι γέρας ἔρχεται ἄλλῃ,DDDDDA,0.04604854829183243
120,iliad,1,121,τόν δ ἠμείβετ ἔπειτα ποδάρκης δῖος Ἀχιλλεύς,SDDSDA,7.091386362504574
121,iliad,1,122,Ἀτρεΐδη κύδιστε φιλοκτεανώτατε πάντων,DSDDDA,0.5036733640373917
122,iliad,1,123,πῶς γάρ τοι δώσουσι γέρας μεγάθυμοι Ἀχαιοί,SSDDDA,0.2357123357744501
123,iliad,1,124,οὐδέ τί που ἴδμεν ξυνήϊα κείμενα πολλά,DSSDDA,0.17638182714718145
124,iliad,1,125,ἀλλά τά μέν πολίων ἐξεπράθομεν τά δέδασται,DDSDDA,0.14496144901715838
125,iliad,1,126,λαούς δ οὐκ ἐπέοικε παλίλλογα ταῦτ ἐπαγείρειν,SDDDDA,0.19684786017779723
126,iliad,1,127,ἀλλά σύ μέν νῦν τήνδε θεῷ πρόες αὐτάρ Ἀχαιοί,DSDDDA,0.24662951776562628
127,iliad,1,128,τριπλῇ τετραπλῇ τ ἀποτείσομεν αἴ κέ ποθι Ζεύς,SSDDDA,0.36178181064690057
128,iliad,1,129,δῷσι πόλιν Τροίην εὐτείχεον ἐξαλαπάξαι,DSSDDA,0.17740882246931647
129,iliad,1,130,τόν δ ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων,DDDSDA,17.41967557449457
130,iliad,1,131,μή δ οὕτως ἀγαθός περ ἐών θεοείκελ Ἀχιλλεῦ,SDDDDA,0.1836166754989045
131,iliad,1,132,κλέπτε νόῳ ἐπεί οὐ παρελεύσεαι οὐδέ με πείσεις,DDDDDA,0.15228566489755896
132,iliad,1,133,ἦ ἐθέλεις ὄφρ αὐτός ἔχῃς γέρας αὐτάρ ἔμ αὔτως,DSDDDA,0.030227288633611574
133,iliad,1,134,ἧσθαι δευόμενον κέλεαι δέ με τήνδ ἀποδοῦναι,SDDDDA,0.11090178385117955
134,iliad,1,135,ἀλλ εἰ μέν δώσουσι γέρας μεγάθυμοι Ἀχαιοί,SSDDDA,0.1950230448466373
135,iliad,1,136,ἄρσαντες κατά θυμόν ὅπως ἀντάξιον ἔσται,SDDSDA,0.21705282710780707
136,iliad,1,137,εἰ δέ κε μή δώωσιν ἐγώ δέ κεν αὐτός ἕλωμαι,DSDDDA,0.280479299212169
137,iliad,1,138,ἤ τεόν ἤ Αἴαντος ἰών γέρας ἤ Ὀδυσῆος,DSDDDA,0.01181802574436026
138,iliad,1,139,ἄξω ἑλών ὅ δέ κεν κεχολώσεται ὅν κεν ἵκωμαι,DDDDDA,0.07782153214510344
139,iliad,1,140,ἀλλ ἤτοι μέν ταῦτα μεταφρασόμεσθα καί αὖτις,SSDDDA,0.18118406122816272
140,iliad,1,141,νῦν δ ἄγε νῆα μέλαιναν ἐρύσσομεν εἰς ἅλα δῖαν,DDDDDA,1.182708853933923
141,iliad,1,142,ἐν δ ἐρέτας ἐπιτηδές ἀγείρομεν ἐς δ ἑκατόμβην,DDDDDA,0.19171324931019013
142,iliad,1,143,θείομεν ἄν δ αὐτήν Χρυσηΐδα καλλιπάρῃον,DSSDDA,0.15312372749100053
143,iliad,1,144,βήσομεν εἷς δέ τις ἀρχός ἀνήρ βουληφόρος ἔστω,DDDSDA,0.06946448732042547
144,iliad,1,145,ἤ Αἴας ἤ Ἰδομενεύς ἤ δῖος Ὀδυσσεύς,SSDSDA,0.029277615621908327
145,iliad,1,146,ἠέ σύ Πηλεΐδη πάντων ἐκπαγλότατ ἀνδρῶν,DDSSDA,0.16622587439612918
146,iliad,1,147,ὄφρ ἥμιν ἑκάεργον ἱλάσσεαι ἱερά ῥέξας,SDDDDA,0.2569246695691074
147,iliad,1,148,τόν δ ἄρ ὑπόδρα ἰδών προσέφη πόδας ὠκύς Ἀχιλλεύς,DDDDDA,12.192672834139236
148,iliad,1,149,ὤ μοι ἀναιδείην ἐπιειμένε κερδαλεόφρον,DSDDSA,0.4525529066632381
149,iliad,1,150,πῶς τίς τοι πρόφρων ἔπεσιν πείθηται Ἀχαιῶν,SSDSDA,0.12959679162356033
150,iliad,1,151,ἤ ὁδόν ἐλθέμεναι ἤ ἀνδράσιν ἶφι μάχεσθαι,DDSDDA,0.03996149497324084
151,iliad,1,152,οὐ γάρ ἐγώ Τρώων ἕνεκ ἤλυθον αἰχμητάων,DSDDSA,0.20082479019523924
152,iliad,1,153,δεῦρο μαχησόμενος ἐπεί οὔ τί μοι αἴτιοί εἰσιν,DDDDDA,0.46649754400125887
153,iliad,1,154,οὐ γάρ πώποτ ἐμάς βοῦς ἤλασαν οὐδέ μέν ἵππους,SDSDDA,0.17439580496720933
154,iliad,1,155,οὐδέ ποτ ἐν Φθίῃ ἐριβώλακι βωτιανείρῃ,DSDDDA,0.17242390640031222
155,iliad,1,156,καρπόν ἐδηλήσαντ ἐπεί ἦ μάλα πολλά μεταξύ,DSDDDA,0.32707969368254025
156,iliad,1,157,οὔρεά τε σκιόεντα θάλασσά τε ἠχήεσσα,DDDDSA,0.03125206440513927
157,iliad,1,158,ἀλλά σοί ὦ μέγ ἀναιδές ἅμ ἑσπόμεθ ὄφρα σύ χαίρῃς,DDDDDA,0.049547945657626165
158,iliad,1,159,τιμήν ἀρνύμενοι Μενελάῳ σοί τε κυνῶπα,SDDSDA,0.07384334731675628
159,iliad,1,160,πρός Τρώων τῶν οὔ τι μετατρέπῃ οὐδ ἀλεγίζεις,SSDDDA,0.13898865652626144
160,iliad,1,161,καί δή μοι γέρας αὐτός ἀφαιρήσεσθαι ἀπειλεῖς,SDDSDA,0.22295731083595766
161,iliad,1,162,ᾧ ἔπι πολλά μόγησα δόσαν δέ μοι υἷες Ἀχαιῶν,DDDDDA,0.14581829016223982
162,iliad,1,163,οὐ μέν σοί ποτε ἶσον ἔχω γέρας ὁππότ Ἀχαιοί,SDDDDA,0.08300889365959682
163,iliad,1,164,Τρώων ἐκπέρσωσ εὖ ναιόμενον πτολίεθρον,SSSDDA,0.28208279776433415
164,iliad,1,165,ἀλλά τό μέν πλεῖον πολυάϊκος πολέμοιο,DSDSDA,0.18328663387882815
165,iliad,1,166,χεῖρες ἐμαί διέπουσ ἀτάρ ἤν ποτε δασμός ἵκηται,DDDDDA,0.1041262254651851
166,iliad,1,167,σοί τό γέρας πολύ μεῖζον ἐγώ δ ὀλίγον τε φίλον τε,DDDDDA,0.019065230556736715
167,iliad,1,168,ἔρχομ ἔχων ἐπί νῆας ἐπεί κε κάμω πολεμίζων,DDDDDA,0.2340985225203246
168,iliad,1,169,νῦν δ εἶμι Φθίην δ ἐπεί ἦ πολύ φέρτερόν ἐστιν,SSDDDA,0.29317602093440703
169,iliad,1,170,οἴκαδ ἴμεν σύν νηυσί κορωνίσιν οὐδέ σ ὀΐω,DSDDDA,0.1277979039922778
170,iliad,1,171,ἐνθάδ ἄτιμος ἐών ἄφενος καί πλοῦτον ἀφύξειν,DDDSDA,0.057967032063249886
171,iliad,1,172,τόν δ ἠμείβετ ἔπειτα ἄναξ ἀνδρῶν Ἀγαμέμνων,SDDSDA,9.85314911325763
172,iliad,1,173,φεῦγε μάλ εἴ τοι θυμός ἐπέσσυται οὐδέ σ ἔγωγε,DSDDDA,0.05047817768811324
173,iliad,1,174,λίσσομαι εἵνεκ ἐμεῖο μένειν πάρ ἔμοιγε καί ἄλλοι,DDDDDA,0.08583007411446107
174,iliad,1,175,οἵ κέ με τιμήσουσι μάλιστα δέ μητίετα Ζεύς,DSDDDA,0.12760385605620478
175,iliad,1,176,ἔχθιστος δέ μοί ἐσσι διοτρεφέων βασιλήων,SDSDDA,0.255904687998651
176,iliad,1,177,αἰεί γάρ τοι ἔρις τε φίλη πόλεμοί τε μάχαι τε,SDDDDA,0.1544550426010416
177,iliad,1,178,εἰ μάλα καρτερός ἐσσι θεός που σοί τό γ ἔδωκεν,DDDSDA,0.07332353429158656
178,iliad,1,179,οἴκαδ ἰών σύν νηυσί τε σῇς καί σοῖς ἑτάροισι,DSDSDA,0.04485990735302396
179,iliad,1,180,Μυρμιδόνεσσιν ἄνασσε σέθεν δ ἐγώ οὐκ ἀλεγίζω,DDDDDA,0.11303950080006414
180,iliad,1,181,οὐδ ὄθομαι κοτέοντος ἀπειλήσω δέ τοι ὧδε,DDDSDA,0.21966176112715968
181,iliad,1,182,ὡς ἔμ ἀφαιρεῖται Χρυσηΐδα Φοῖβος Ἀπόλλων,DSSDDA,0.21172240662648945
182,iliad,1,183,τήν μέν ἐγώ σύν νηΐ τ ἐμῇ καί ἐμοῖς ἑτάροισι,DSDDDA,0.09932113519853687
183,iliad,1,184,πέμψω ἐγώ δέ κ ἄγω Βρισηΐδα καλλιπάρῃον,DDSDDA,0.233440143469464
184,iliad,1,185,αὐτός ἰών κλισίην δέ τό σόν γέρας ὄφρ ἐΰ εἰδῇς,DDDDDA,0.09212090471746723
185,iliad,1,186,ὅσσον φέρτερός εἰμι σέθεν στυγέῃ δέ καί ἄλλος,SDDDDA,0.14890962031453944
186,iliad,1,187,ἶσον ἐμοί φάσθαι καί ὁμοιωθήμεναι ἄντην,DSDSDA,0.08101369789135991
187,iliad,1,188,ὥς φάτο Πηλεΐωνι δ ἄχος γένετ ἐν δέ οἱ ἦτορ,DDDDDA,0.3854909148072163
188,iliad,1,189,στήθεσσιν λασίοισι διάνδιχα μερμήριξεν,SDDDSA,0.49697852921744085
189,iliad,1,190,ἤ ὅ γε φάσγανον ὀξύ ἐρυσσάμενος παρά μηροῦ,DDDDDA,0.8227453358122555
190,iliad,1,191,τούς μέν ἀναστήσειεν ὅ δ Ἀτρεΐδην ἐναρίζοι,DSDDDA,0.20699684686718384
191,iliad,1,192,ἦε χόλον παύσειεν ἐρητύσειέ τε θυμόν,DSDSDA,0.05982165951476323
192,iliad,1,193,ἧος ὅ ταῦθ ὥρμαινε κατά φρένα καί κατά θυμόν,DSDDDA,0.8606285867203768
193,iliad,1,194,ἕλκετο δ ἐκ κολεοῖο μέγα ξίφος ἦλθε δ Ἀθήνη,DDDDDA,0.06992396195412867
194,iliad,1,195,οὐρανόθεν πρό γάρ ἧκε θεά λευκώλενος Ἥρη,DDDSDA,0.29764535111708235
195,iliad,1,196,ἄμφω ὁμῶς θυμῷ φιλέουσά τε κηδομένη τε,DSDDDA,0.06688260467647446
196,iliad,1,197,στῆ δ ὄπιθεν ξανθῆς δέ κόμης ἕλε Πηλεΐωνα,DSDDDA,0.09214255933310773
197,iliad,1,198,οἴῳ φαινομένη τῶν δ ἄλλων οὔ τις ὁρᾶτο,SDSSDA,0.3017719238492537
198,iliad,1,199,θάμβησεν δ Ἀχιλεύς μετά δ ἐτράπετ αὐτίκα δ ἔγνω,SDDDDA,0.06445139212429349
199,iliad,1,200,Παλλάδ Ἀθηναίην δεινώ δέ οἱ ὄσσε φάανθεν,DSSDDA,0.5160449127966246
200,iliad,1,201,καί μιν φωνήσας ἔπεα πτερόεντα προσηύδα,SSDDDA,21.82392517580443
201,iliad,1,202,τίπτ αὖτ αἰγιόχοιο Διός τέκος εἰλήλουθας,SDDDSA,0.28544618596067683
202,iliad,1,203,ἦ ἵνα ὕβριν ἴδῃ Ἀγαμέμνονος Ἀτρεΐδαο,DDDDDA,0.16393440302849174
203,iliad,1,204,ἀλλ ἔκ τοι ἐρέω τό δέ καί τελέεσθαι ὀΐω,SDDDDA,0.38266668507369256
204,iliad,1,205,ᾗς ὑπεροπλίῃσι τάχ ἄν ποτε θυμόν ὀλέσσῃ,DSDDDA,0.12211391821845273
205,iliad,1,206,τόν δ αὖτε προσέειπε θεά γλαυκῶπις Ἀθήνη,SDDSDA,23.520180402042634
206,iliad,1,207,ἦλθον ἐγώ παύσουσα τό σόν μένος αἴ κε πίθηαι,DSDDDA,0.08178397830353167
