,set_size,lines,times_repeated,text,book,line
40,2,δαίνυντ οὐδέ τι θυμός ἐδεύετο δαιτός ἐΐσης/αὐτάρ ἐπεί πόσιος καί ἐδητύος ἐξ ἔρον ἕντο,4,iliad,2,431
41,2,δαίνυντ οὐδέ τι θυμός ἐδεύετο δαιτός ἐΐσης/αὐτάρ ἐπεί πόσιος καί ἐδητύος ἐξ ἔρον ἕντο,4,iliad,23,56
42,2,δαίνυντ οὐδέ τι θυμός ἐδεύετο δαιτός ἐΐσης/αὐτάρ ἐπεί πόσιος καί ἐδητύος ἐξ ἔρον ἕντο,4,odyssey,16,478
43,2,τόν δ ἠμείβετ ἔπειτα βοῶπις πότνια Ἥρη/αἰνότατε Κρονίδη ποῖον τόν μῦθον ἔειπες,3,iliad,1,551
44,2,τόν δ ἠμείβετ ἔπειτα βοῶπις πότνια Ἥρη/αἰνότατε Κρονίδη ποῖον τόν μῦθον ἔειπες,3,iliad,16,439
45,2,τόν δ ἠμείβετ ἔπειτα βοῶπις πότνια Ἥρη/αἰνότατε Κρονίδη ποῖον τόν μῦθον ἔειπες,3,iliad,18,360
46,2,ὥς τότε μέν πρόπαν ἦμαρ ἐς ἠέλιον καταδύντα/δαίνυντ οὐδέ τι θυμός ἐδεύετο δαιτός ἐΐσης,2,iliad,1,601
47,2,ὥς τότε μέν πρόπαν ἦμαρ ἐς ἠέλιον καταδύντα/δαίνυντ οὐδέ τι θυμός ἐδεύετο δαιτός ἐΐσης,2,odyssey,19,424
48,2,Τρώων οὐ γάρ ἔτ ἀμφίς Ὀλύμπια δώματ ἔχοντες/ἀθάνατοι φράζονται ἐπέγναμψεν γάρ ἅπαντας,3,iliad,2,13
49,2,Τρώων οὐ γάρ ἔτ ἀμφίς Ὀλύμπια δώματ ἔχοντες/ἀθάνατοι φράζονται ἐπέγναμψεν γάρ ἅπαντας,3,iliad,2,30
50,2,Τρώων οὐ γάρ ἔτ ἀμφίς Ὀλύμπια δώματ ἔχοντες/ἀθάνατοι φράζονται ἐπέγναμψεν γάρ ἅπαντας,3,iliad,2,67
51,2,ἀθάνατοι φράζονται ἐπέγναμψεν γάρ ἅπαντας/Ἥρη λισσομένη Τρώεσσι δέ κήδε ἐφῆπται,3,iliad,2,14
52,2,ἀθάνατοι φράζονται ἐπέγναμψεν γάρ ἅπαντας/Ἥρη λισσομένη Τρώεσσι δέ κήδε ἐφῆπται,3,iliad,2,31
53,2,ἀθάνατοι φράζονται ἐπέγναμψεν γάρ ἅπαντας/Ἥρη λισσομένη Τρώεσσι δέ κήδε ἐφῆπται,3,iliad,2,68
54,2,εὕδεις Ἀτρέος υἱέ δαΐφρονος ἱπποδάμοιο/οὐ χρή παννύχιον εὕδειν βουληφόρον ἄνδρα,2,iliad,2,23
55,2,εὕδεις Ἀτρέος υἱέ δαΐφρονος ἱπποδάμοιο/οὐ χρή παννύχιον εὕδειν βουληφόρον ἄνδρα,2,iliad,2,60
56,2,οὐ χρή παννύχιον εὕδειν βουληφόρον ἄνδρα/ᾧ λαοί τ ἐπιτετράφαται καί τόσσα μέμηλε,2,iliad,2,24
57,2,οὐ χρή παννύχιον εὕδειν βουληφόρον ἄνδρα/ᾧ λαοί τ ἐπιτετράφαται καί τόσσα μέμηλε,2,iliad,2,61
58,2,ᾧ λαοί τ ἐπιτετράφαται καί τόσσα μέμηλε/νῦν δ ἐμέθεν ξύνες ὦκα Διός δέ τοι ἄγγελός εἰμι,2,iliad,2,25
59,2,ᾧ λαοί τ ἐπιτετράφαται καί τόσσα μέμηλε/νῦν δ ἐμέθεν ξύνες ὦκα Διός δέ τοι ἄγγελός εἰμι,2,iliad,2,62
60,2,νῦν δ ἐμέθεν ξύνες ὦκα Διός δέ τοι ἄγγελός εἰμι/ὅς σεῦ ἄνευθεν ἐών μέγα κήδεται ἠδ ἐλεαίρει,2,iliad,2,26
61,2,νῦν δ ἐμέθεν ξύνες ὦκα Διός δέ τοι ἄγγελός εἰμι/ὅς σεῦ ἄνευθεν ἐών μέγα κήδεται ἠδ ἐλεαίρει,2,iliad,2,63
62,2,ὅς σεῦ ἄνευθεν ἐών μέγα κήδεται ἠδ ἐλεαίρει/θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιούς,2,iliad,2,27
63,2,ὅς σεῦ ἄνευθεν ἐών μέγα κήδεται ἠδ ἐλεαίρει/θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιούς,2,iliad,2,64
64,2,θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιούς/πανσυδίῃ νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν,2,iliad,2,28
65,2,θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιούς/πανσυδίῃ νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν,2,iliad,2,65
66,2,πανσυδίῃ νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν/Τρώων οὐ γάρ ἔτ ἀμφίς Ὀλύμπια δώματ ἔχοντες,2,iliad,2,29
67,2,πανσυδίῃ νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν/Τρώων οὐ γάρ ἔτ ἀμφίς Ὀλύμπια δώματ ἔχοντες,2,iliad,2,66
68,2,Ἴλιον ἐκπέρσαντ εὐτείχεον ἀπονέεσθαι/νῦν δέ κακήν ἀπάτην βουλεύσατο καί με κελεύει,2,iliad,2,113
69,2,Ἴλιον ἐκπέρσαντ εὐτείχεον ἀπονέεσθαι/νῦν δέ κακήν ἀπάτην βουλεύσατο καί με κελεύει,2,iliad,9,20
70,2,νῦν δέ κακήν ἀπάτην βουλεύσατο καί με κελεύει/δυσκλέα Ἄργος ἱκέσθαι ἐπεί πολύν ὤλεσα λαόν,2,iliad,2,114
71,2,νῦν δέ κακήν ἀπάτην βουλεύσατο καί με κελεύει/δυσκλέα Ἄργος ἱκέσθαι ἐπεί πολύν ὤλεσα λαόν,2,iliad,9,21
72,2,δυσκλέα Ἄργος ἱκέσθαι ἐπεί πολύν ὤλεσα λαόν/οὕτω που Διί μέλλει ὑπερμενέϊ φίλον εἶναι,2,iliad,2,115
73,2,δυσκλέα Ἄργος ἱκέσθαι ἐπεί πολύν ὤλεσα λαόν/οὕτω που Διί μέλλει ὑπερμενέϊ φίλον εἶναι,2,iliad,9,22
74,2,οὕτω που Διί μέλλει ὑπερμενέϊ φίλον εἶναι/ὅς δή πολλάων πολίων κατέλυσε κάρηνα,2,iliad,2,116
75,2,οὕτω που Διί μέλλει ὑπερμενέϊ φίλον εἶναι/ὅς δή πολλάων πολίων κατέλυσε κάρηνα,2,iliad,9,23
76,2,ὅς δή πολλάων πολίων κατέλυσε κάρηνα/ἠδ ἔτι καί λύσει τοῦ γάρ κράτος ἐστί μέγιστον,2,iliad,2,117
77,2,ὅς δή πολλάων πολίων κατέλυσε κάρηνα/ἠδ ἔτι καί λύσει τοῦ γάρ κράτος ἐστί μέγιστον,2,iliad,9,24
78,2,ἀλλ ἄγεθ ὡς ἄν ἐγώ εἴπω πειθώμεθα πάντες/φεύγωμεν σύν νηυσί φίλην ἐς πατρίδα γαῖαν,2,iliad,2,139
79,2,ἀλλ ἄγεθ ὡς ἄν ἐγώ εἴπω πειθώμεθα πάντες/φεύγωμεν σύν νηυσί φίλην ἐς πατρίδα γαῖαν,2,iliad,9,26
80,2,φεύγωμεν σύν νηυσί φίλην ἐς πατρίδα γαῖαν/οὐ γάρ ἔτι Τροίην αἱρήσομεν εὐρυάγυιαν,2,iliad,2,140
81,2,φεύγωμεν σύν νηυσί φίλην ἐς πατρίδα γαῖαν/οὐ γάρ ἔτι Τροίην αἱρήσομεν εὐρυάγυιαν,2,iliad,9,27
82,2,Ἀργείην Ἑλένην ἧς εἵνεκα πολλοί Ἀχαιῶν/ἐν Τροίῃ ἀπόλοντο φίλης ἀπό πατρίδος αἴης,2,iliad,2,161
83,2,Ἀργείην Ἑλένην ἧς εἵνεκα πολλοί Ἀχαιῶν/ἐν Τροίῃ ἀπόλοντο φίλης ἀπό πατρίδος αἴης,2,iliad,2,177
84,2,τώ κε τάχ ἠμύσειε πόλις Πριάμοιο ἄνακτος/χερσίν ὑφ ἡμετέρῃσιν ἁλοῦσά τε περθομένη τε,2,iliad,2,373
85,2,τώ κε τάχ ἠμύσειε πόλις Πριάμοιο ἄνακτος/χερσίν ὑφ ἡμετέρῃσιν ἁλοῦσά τε περθομένη τε,2,iliad,4,290
86,2,αὐτάρ ἐπεί πόσιος καί ἐδητύος ἐξ ἔρον ἕντο/τοῖς ἄρα μύθων ἦρχε Γερήνιος ἱππότα Νέστωρ,2,iliad,2,432
87,2,αὐτάρ ἐπεί πόσιος καί ἐδητύος ἐξ ἔρον ἕντο/τοῖς ἄρα μύθων ἦρχε Γερήνιος ἱππότα Νέστωρ,2,odyssey,3,67
88,2,τοῖσι δ ἄφαρ πόλεμος γλυκίων γένετ ἠέ νέεσθαι/ἐν νηυσί γλαφυρῇσι φίλην ἐς πατρίδα γαῖαν,2,iliad,2,453
89,2,τοῖσι δ ἄφαρ πόλεμος γλυκίων γένετ ἠέ νέεσθαι/ἐν νηυσί γλαφυρῇσι φίλην ἐς πατρίδα γαῖαν,2,iliad,11,13
90,2,ἀλλ ὅ μέν ἐν νήεσσι κορωνίσι ποντοπόροισι/κεῖτ ἀπομηνίσας Ἀγαμέμνονι ποιμένι λαῶν,2,iliad,2,771
91,2,ἀλλ ὅ μέν ἐν νήεσσι κορωνίσι ποντοπόροισι/κεῖτ ἀπομηνίσας Ἀγαμέμνονι ποιμένι λαῶν,2,iliad,7,229
92,2,πᾶσαι δ ὠΐγνυντο πύλαι ἐκ δ ἔσσυτο λαός/πεζοί θ ἱππῆές τε πολύς δ ὀρυμαγδός ὀρώρει,2,iliad,2,809
93,2,πᾶσαι δ ὠΐγνυντο πύλαι ἐκ δ ἔσσυτο λαός/πεζοί θ ἱππῆές τε πολύς δ ὀρυμαγδός ὀρώρει,2,iliad,8,58
94,2,υἷε δύω Μέροπος Περκωσίου ὅς περί πάντων/ᾔδεε μαντοσύνας οὐδέ οὕς παῖδας ἔασκε,2,iliad,2,831
95,2,υἷε δύω Μέροπος Περκωσίου ὅς περί πάντων/ᾔδεε μαντοσύνας οὐδέ οὕς παῖδας ἔασκε,2,iliad,11,329
96,2,ᾔδεε μαντοσύνας οὐδέ οὕς παῖδας ἔασκε/στείχειν ἐς πόλεμον φθισήνορα τώ δέ οἱ οὔ τι,2,iliad,2,832
97,2,ᾔδεε μαντοσύνας οὐδέ οὕς παῖδας ἔασκε/στείχειν ἐς πόλεμον φθισήνορα τώ δέ οἱ οὔ τι,2,iliad,11,330
98,2,στείχειν ἐς πόλεμον φθισήνορα τώ δέ οἱ οὔ τι/πειθέσθην κῆρες γάρ ἄγον μέλανος θανάτοιο,2,iliad,2,833
99,2,στείχειν ἐς πόλεμον φθισήνορα τώ δέ οἱ οὔ τι/πειθέσθην κῆρες γάρ ἄγον μέλανος θανάτοιο,2,iliad,11,331
100,2,Ἄσιος Ὑρτακίδης ὅν Ἀρίσβηθεν φέρον ἵπποι/αἴθωνες μεγάλοι ποταμοῦ ἄπο Σελλήεντος,2,iliad,2,838
101,2,Ἄσιος Ὑρτακίδης ὅν Ἀρίσβηθεν φέρον ἵπποι/αἴθωνες μεγάλοι ποταμοῦ ἄπο Σελλήεντος,2,iliad,12,96
102,2,τόν δ αὖτε προσέειπεν Ἀλέξανδρος θεοειδής/Ἕκτορ ἐπεί με κατ αἶσαν ἐνείκεσας οὐδ ὑπέρ αἶσαν,2,iliad,3,58
103,2,τόν δ αὖτε προσέειπεν Ἀλέξανδρος θεοειδής/Ἕκτορ ἐπεί με κατ αἶσαν ἐνείκεσας οὐδ ὑπέρ αἶσαν,2,iliad,6,332
104,2,ὁππότερος δέ κε νικήσῃ κρείσσων τε γένηται/κτήμαθ ἑλών εὖ πάντα γυναῖκά τε οἴκαδ ἀγέσθω,2,iliad,3,71
105,2,ὁππότερος δέ κε νικήσῃ κρείσσων τε γένηται/κτήμαθ ἑλών εὖ πάντα γυναῖκά τε οἴκαδ ἀγέσθω,2,iliad,3,92
106,2,Ἀτρεΐδης δέ ἐρυσσάμενος χείρεσσι μάχαιραν/ἥ οἱ πάρ ξίφεος μέγα κουλεόν αἰέν ἄωρτο,2,iliad,3,271
107,2,Ἀτρεΐδης δέ ἐρυσσάμενος χείρεσσι μάχαιραν/ἥ οἱ πάρ ξίφεος μέγα κουλεόν αἰέν ἄωρτο,2,iliad,19,252
108,2,κνημῖδας μέν πρῶτα περί κνήμῃσιν ἔθηκε/καλάς ἀργυρέοισιν ἐπισφυρίοις ἀραρυίας,4,iliad,3,330
109,2,κνημῖδας μέν πρῶτα περί κνήμῃσιν ἔθηκε/καλάς ἀργυρέοισιν ἐπισφυρίοις ἀραρυίας,4,iliad,11,17
110,2,κνημῖδας μέν πρῶτα περί κνήμῃσιν ἔθηκε/καλάς ἀργυρέοισιν ἐπισφυρίοις ἀραρυίας,4,iliad,16,131
111,2,κνημῖδας μέν πρῶτα περί κνήμῃσιν ἔθηκε/καλάς ἀργυρέοισιν ἐπισφυρίοις ἀραρυίας,4,iliad,19,369
112,2,καλάς ἀργυρέοισιν ἐπισφυρίοις ἀραρυίας/δεύτερον αὖ θώρηκα περί στήθεσσιν ἔδυνεν,2,iliad,3,331
113,2,καλάς ἀργυρέοισιν ἐπισφυρίοις ἀραρυίας/δεύτερον αὖ θώρηκα περί στήθεσσιν ἔδυνεν,2,iliad,19,370
114,2,ἀμφί δ ἄρ ὤμοισιν βάλετο ξίφος ἀργυρόηλον/χάλκεον αὐτάρ ἔπειτα σάκος μέγα τε στιβαρόν τε,3,iliad,3,334
115,2,ἀμφί δ ἄρ ὤμοισιν βάλετο ξίφος ἀργυρόηλον/χάλκεον αὐτάρ ἔπειτα σάκος μέγα τε στιβαρόν τε,3,iliad,16,135
116,2,ἀμφί δ ἄρ ὤμοισιν βάλετο ξίφος ἀργυρόηλον/χάλκεον αὐτάρ ἔπειτα σάκος μέγα τε στιβαρόν τε,3,iliad,19,372
117,2,χάλκεον αὐτάρ ἔπειτα σάκος μέγα τε στιβαρόν τε/κρατί δ ἐπ ἰφθίμῳ κυνέην εὔτυκτον ἔθηκεν,2,iliad,3,335
118,2,χάλκεον αὐτάρ ἔπειτα σάκος μέγα τε στιβαρόν τε/κρατί δ ἐπ ἰφθίμῳ κυνέην εὔτυκτον ἔθηκεν,2,iliad,16,136
119,2,κρατί δ ἐπ ἰφθίμῳ κυνέην εὔτυκτον ἔθηκεν/ἵππουριν δεινόν δέ λόφος καθύπερθεν ἔνευεν,4,iliad,3,336
120,2,κρατί δ ἐπ ἰφθίμῳ κυνέην εὔτυκτον ἔθηκεν/ἵππουριν δεινόν δέ λόφος καθύπερθεν ἔνευεν,4,iliad,15,480
121,2,κρατί δ ἐπ ἰφθίμῳ κυνέην εὔτυκτον ἔθηκεν/ἵππουριν δεινόν δέ λόφος καθύπερθεν ἔνευεν,4,iliad,16,137
122,2,κρατί δ ἐπ ἰφθίμῳ κυνέην εὔτυκτον ἔθηκεν/ἵππουριν δεινόν δέ λόφος καθύπερθεν ἔνευεν,4,odyssey,22,123
123,2,διά μέν ἀσπίδος ἦλθε φαεινῆς ὄβριμον ἔγχος/καί διά θώρηκος πολυδαιδάλου ἠρήρειστο,3,iliad,3,357
124,2,διά μέν ἀσπίδος ἦλθε φαεινῆς ὄβριμον ἔγχος/καί διά θώρηκος πολυδαιδάλου ἠρήρειστο,3,iliad,7,251
125,2,διά μέν ἀσπίδος ἦλθε φαεινῆς ὄβριμον ἔγχος/καί διά θώρηκος πολυδαιδάλου ἠρήρειστο,3,iliad,11,435
126,2,καί διά θώρηκος πολυδαιδάλου ἠρήρειστο/ἀντικρύ δέ παραί λαπάρην διάμησε χιτῶνα,2,iliad,3,358
127,2,καί διά θώρηκος πολυδαιδάλου ἠρήρειστο/ἀντικρύ δέ παραί λαπάρην διάμησε χιτῶνα,2,iliad,7,252
128,2,ἀντικρύ δέ παραί λαπάρην διάμησε χιτῶνα/ἔγχος ὅ δ ἐκλίνθη καί ἀλεύατο κῆρα μέλαιναν,2,iliad,3,359
129,2,ἀντικρύ δέ παραί λαπάρην διάμησε χιτῶνα/ἔγχος ὅ δ ἐκλίνθη καί ἀλεύατο κῆρα μέλαιναν,2,iliad,7,253
130,2,ὥς ἔφαθ αἵ δ ἐπέμυξαν Ἀθηναίη τε καί Ἥρη/πλησίαι αἵ γ ἥσθην κακά δέ Τρώεσσι μεδέσθην,2,iliad,4,20
131,2,ὥς ἔφαθ αἵ δ ἐπέμυξαν Ἀθηναίη τε καί Ἥρη/πλησίαι αἵ γ ἥσθην κακά δέ Τρώεσσι μεδέσθην,2,iliad,8,457
132,2,πλησίαι αἵ γ ἥσθην κακά δέ Τρώεσσι μεδέσθην/ἤτοι Ἀθηναίη ἀκέων ἦν οὐδέ τι εἶπε,2,iliad,4,21
133,2,πλησίαι αἵ γ ἥσθην κακά δέ Τρώεσσι μεδέσθην/ἤτοι Ἀθηναίη ἀκέων ἦν οὐδέ τι εἶπε,2,iliad,8,458
134,2,ἤτοι Ἀθηναίη ἀκέων ἦν οὐδέ τι εἶπε/σκυζομένη Διί πατρί χόλος δέ μιν ἄγριος ᾕρει,2,iliad,4,22
135,2,ἤτοι Ἀθηναίη ἀκέων ἦν οὐδέ τι εἶπε/σκυζομένη Διί πατρί χόλος δέ μιν ἄγριος ᾕρει,2,iliad,8,459
136,2,σκυζομένη Διί πατρί χόλος δέ μιν ἄγριος ᾕρει/Ἥρῃ δ οὐκ ἔχαδε στῆθος χόλον ἀλλά προσηύδα,2,iliad,4,23
137,2,σκυζομένη Διί πατρί χόλος δέ μιν ἄγριος ᾕρει/Ἥρῃ δ οὐκ ἔχαδε στῆθος χόλον ἀλλά προσηύδα,2,iliad,8,460
138,2,Ἥρῃ δ οὐκ ἔχαδε στῆθος χόλον ἀλλά προσηύδα/αἰνότατε Κρονίδη ποῖον τόν μῦθον ἔειπες,2,iliad,4,24
139,2,Ἥρῃ δ οὐκ ἔχαδε στῆθος χόλον ἀλλά προσηύδα/αἰνότατε Κρονίδη ποῖον τόν μῦθον ἔειπες,2,iliad,8,461
140,2,οὐ γάρ μοί ποτε βωμός ἐδεύετο δαιτός ἐΐσης/λοιβῆς τε κνίσης τε τό γάρ λάχομεν γέρας ἡμεῖς,2,iliad,4,48
141,2,οὐ γάρ μοί ποτε βωμός ἐδεύετο δαιτός ἐΐσης/λοιβῆς τε κνίσης τε τό γάρ λάχομεν γέρας ἡμεῖς,2,iliad,24,69
142,2,ἀμφότερον γενεῇ τε καί οὕνεκα σή παράκοιτις/κέκλημαι σύ δέ πᾶσι μετ ἀθανάτοισιν ἀνάσσεις,2,iliad,4,60
143,2,ἀμφότερον γενεῇ τε καί οὕνεκα σή παράκοιτις/κέκλημαι σύ δέ πᾶσι μετ ἀθανάτοισιν ἀνάσσεις,2,iliad,18,365
144,2,πειρᾶν δ ὥς κε Τρῶες ὑπερκύδαντας Ἀχαιούς/ἄρξωσι πρότεροι ὑπέρ ὅρκια δηλήσασθαι,2,iliad,4,66
145,2,πειρᾶν δ ὥς κε Τρῶες ὑπερκύδαντας Ἀχαιούς/ἄρξωσι πρότεροι ὑπέρ ὅρκια δηλήσασθαι,2,iliad,4,71
146,2,ὥς εἰπών ὄτρυνε πάρος μεμαυῖαν Ἀθήνην/βῆ δέ κατ Οὐλύμποιο καρήνων ἀΐξασα,2,iliad,4,73
147,2,ὥς εἰπών ὄτρυνε πάρος μεμαυῖαν Ἀθήνην/βῆ δέ κατ Οὐλύμποιο καρήνων ἀΐξασα,2,iliad,22,186
148,2,ἀρνῶν πρωτογόνων ῥέξειν κλειτήν ἑκατόμβην/οἴκαδε νοστήσας ἱερῆς εἰς ἄστυ Ζελείης,2,iliad,4,102
